Species	ppl①	ppl②	ppl③	ppl④	ppl⑤	pss①	pss②	pss③	pss④	pss⑤	bbc①	bbc②	bbc③	bbc④	bbc⑤	sre①	sre②	sre③	sre④	sre⑤
PG36:2	1.50406E-05	1.2056E-05	1.76886E-05	1.0948E-05	2.75506E-05	0.000147807	1.96519E-05	3.56928E-05	1.63691E-05	1.69459E-05	9.02765E-06	5.98107E-06	5.45655E-06	5.49887E-06	8.39857E-06	1.03121E-05	1.75184E-05	3.03157E-05	1.80007E-05	7.03951E-06
FFA18:0	0.668714957	0.745956112	0.814811178	0.924514627	0.976544148	1.952858053	1.891737777	1.776667129	1.472761086	1.631510389	1.769546317	1.871887146	1.288672603	1.534644533	1.61666758	2.497093997	2.004143909	2.391957563	2.454686538	3.148217613
FFA16:0	1.866658288	1.843775729	1.968727936	2.310469209	2.395624777	4.514022187	4.577808439	3.198587282	2.939684614	3.044016264	3.816411933	3.939730565	2.986458798	2.85666236	3.511423636	5.97278123	4.060370651	5.098955873	5.327478222	6.297404
LysoPC16:1	0.000461954	0.00037097	0.00039127	0.000393372	0.000527826	0.000650888	0.000546848	0.000664678	0.000686449	0.000646899	0.000451219	0.000546259	0.000591615	0.000509396	0.001020785	0.000654972	0.000368942	0.000660443	0.000819496	0.00111672
LysoPC16:0	0.000351024	0.000270299	0.000274241	0.000284839	0.000307009	0.000421019	0.000503702	0.000436381	0.000487857	0.000537458	0.000414892	0.000435287	0.000451428	0.00038025	0.000751166	0.000749126	0.000709133	0.000875086	0.0009984	0.000785375
LysoPC18:2	0.000305322	0.000357779	0.000271858	0.000231334	0.000359302	0.000408968	0.000416071	0.00044243	0.000507326	0.000361782	0.000239287	0.000173579	0.000332834	0.000236806	0.000422008	0.000544058	0.000496714	0.000546608	0.000691055	0.00058126
LysoPC18:1	0.000313058	0.000274777	0.000313457	0.000271925	0.000377299	0.000475283	0.000376291	0.000384023	0.000365549	0.000359694	0.000351566	0.00034028	0.000409844	0.000378936	0.00075027	0.000572154	0.000351324	0.000625662	0.000773787	0.000837997
PC27:0	0.000118167	0.000187157	0.000118758	0.000147013	0.000142852	0.00012125	9.32947E-05	9.07695E-05	7.45836E-05	9.90208E-05	0.000401029	0.000188516	0.000353745	0.000196624	0.000392656	0.000194015	0.000144806	0.000188617	0.000172684	0.000235686
PC28:2	0.000510883	0.000491371	0.000425239	0.000690255	0.000583035	0.000416564	0.0004449	0.000339158	0.000315684	0.000504521	0.000594515	0.000496535	0.00063361	0.000391608	0.000762369	0.000626951	0.000436007	0.000833918	0.000714599	0.000878764
PC28:1	0.006079214	0.005605858	0.004682162	0.008816784	0.006001479	0.004532719	0.004299452	0.003202565	0.00437612	0.005354932	0.013423163	0.009751676	0.013902098	0.008666664	0.016268776	0.005434671	0.003923752	0.005745535	0.006414057	0.007219059
PC29:1	0.000393921	0.000465565	0.000445735	0.000437665	0.000450914	0.000403101	0.000494155	0.000492326	0.000401428	0.00049769	0.001241681	0.000759988	0.001029481	0.000740845	0.001119928	0.000507263	0.000335032	0.000528185	0.000506292	0.000630811
PC29:0	0.000114772	0.000154918	0.000152005	0.00016346	0.000154149	0.000165511	0.000212089	0.000140454	0.000161134	0.000151455	0.000474448	0.000352619	0.000423882	0.000352418	0.000454873	0.000252443	0.000107208	0.000141901	0.000152588	0.000282209
PC30:2	0.006030895	0.005442961	0.005251865	0.007900794	0.006504726	0.006274195	0.005995126	0.0050303	0.006423603	0.007421013	0.007166799	0.006222905	0.009108178	0.005628535	0.010655359	0.006149528	0.004149679	0.006895783	0.007587535	0.008923195
